"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2014-11-11",76.800003,77.279999,76.559998,77.139999,1463000,71.017204
"2014-11-12",76.580002,77.5,76.379997,77.300003,1319200,71.16452
"2014-11-13",77.379997,78.25,77.330002,78.089996,1443300,71.891792
"2014-11-14",78.089996,78.389999,77.709999,77.959999,1456700,71.77211
"2014-11-17",77.099998,77.739998,76.769997,77.169998,2517600,71.044815
"2014-11-18",76.889999,77.220001,76.510002,76.940002,2442900,71.017136
"2014-11-19",76.980003,77.349998,76.32,76.379997,1783400,70.500252
"2014-11-20",76.370003,76.410004,75.339996,75.889999,2324700,70.047981
"2014-11-21",76.809998,77.050003,75.910004,75.980003,2211300,70.13105
"2014-11-24",76.470001,77.230003,76.470001,76.970001,2092500,71.044815
"2014-11-25",77.019997,77.300003,76.440002,77.040001,4748000,71.109421
"2014-11-26",76.82,77.650002,76.769997,77.480003,1010900,71.515579
"2014-11-28",78.330002,79.209999,78.150002,78.790001,981200,72.724716
"2014-12-01",78.5,78.790001,77.370003,77.449997,1903100,71.487869
"2014-12-02",77.730003,78.190002,77.400002,77.449997,2659900,71.487869
"2014-12-03",77.5,78.489998,77.199997,78.139999,1400200,72.124748
"2014-12-04",78,79,77.449997,77.940002,1499100,71.940147
"2014-12-05",78.059998,79.190002,77.970001,78.989998,1598700,72.909317
"2014-12-08",79.010002,79.25,78.5,78.989998,1459600,72.909317
"2014-12-09",78.080002,78.519997,77.5,78.370003,1669400,72.337059
"2014-12-10",78.300003,78.459999,77.330002,77.480003,1655200,71.515579
"2014-12-11",78.580002,78.779999,77.25,77.620003,1427900,71.644791
"2014-12-12",77.07,77.919998,76.709999,76.760002,1568600,70.85099
"2014-12-15",77.5,78.290001,76.269997,77.57,2640100,71.59864
"2014-12-16",77.839996,77.93,76.220001,76.279999,3311600,70.407936
"2014-12-17",76.290001,77.080002,75.620003,76.739998,2353700,70.83252
"2014-12-18",77.639999,77.879997,76.910004,77.349998,2353400,71.395546
"2014-12-19",77.330002,77.970001,76.980003,77.43,4492400,71.469414
"2014-12-22",77.410004,78.610001,77.349998,78.459999,1257100,72.420135
"2014-12-23",78.75,79.029999,78.339996,78.540001,1577000,72.493973
"2014-12-24",78.089996,78.57,77.860001,78.349998,736900,72.318611
"2014-12-26",78.669998,78.989998,78.519997,78.690002,891500,72.632423
"2014-12-29",78.720001,79.25,78.160004,79.080002,1115100,72.992401
"2014-12-30",78.720001,79.220001,78.050003,78.300003,1184600,72.272453
"2014-12-31",78.669998,79.25,77.980003,78.029999,1422000,72.023239
"2015-01-02",78.339996,78.559998,76.709999,77.75,1277300,71.764778
"2015-01-05",77.639999,77.739998,75.32,75.620003,2034800,69.798744
"2015-01-06",75.470001,75.599998,73.910004,74.669998,2551500,68.921883
"2015-01-07",75.480003,76.57,74.989998,76.379997,1979400,70.500252
"2015-01-08",76.800003,79.029999,76.379997,78.910004,2396100,72.83548
"2015-01-09",78.790001,79.089996,77.989998,78.730003,2350900,72.66935
"2015-01-12",78.879997,79,77.629997,77.910004,1715400,71.912483
"2015-01-13",78.839996,79.610001,77.169998,77.419998,2504700,71.460197
