"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2021-12-22",148.220001,153.470001,148.220001,152.740005,3098700,152.061981
"2021-12-23",154.009995,155.220001,152.509995,154.710007,1384900,154.023239
"2021-12-27",153.710007,155.440002,152.320007,155.289993,906000,154.600662
"2021-12-28",154.929993,156.009995,153.910004,155.020004,965700,154.331863
"2021-12-29",154.429993,155.809998,154.050003,155.369995,893400,154.680298
"2021-12-30",155.380005,156.690002,154.429993,154.979996,1474200,154.292038
"2021-12-31",154.830002,156.970001,154.580002,155.990005,1187300,155.297562
"2022-01-03",155.949997,157.149994,152.75,154.479996,1712700,153.79425
"2022-01-04",157.490005,159.210007,155.949997,155.960007,2043100,155.2677
"2022-01-05",156.220001,156.460007,151.779999,151.800003,1339900,151.126144
"2022-01-06",152.240005,153.600006,150.910004,152.179993,1782200,151.504471
"2022-01-07",152.570007,155.029999,151.970001,152,2040200,151.325256
"2022-01-10",150.839996,152.039993,146.039993,148.610001,2652300,147.950317
"2022-01-11",149.190002,153.509995,147.75,152.5,3488300,151.823044
"2022-01-12",153.929993,154.139999,149.710007,150,2010200,149.334137
"2022-01-13",150.589996,152.089996,149.059998,149.899994,2234300,149.234589
"2022-01-14",149.149994,149.429993,146.449997,147.979996,2718500,147.323105
"2022-01-18",146.300003,146.539993,143.779999,144.520004,2852600,143.878479
"2022-01-19",144.960007,145.559998,141.820007,142.210007,3131300,141.57872
"2022-01-20",143.059998,146.75,141.839996,142.240005,2576400,141.608597
"2022-01-21",142.25,145.179993,141.130005,142.259995,3607400,141.628494
"2022-01-24",138.240005,140.600006,134.559998,140.479996,5057500,139.8564
"2022-01-25",138.139999,143.5,134.529999,142.389999,3976200,141.757919
"2022-01-26",144.570007,148.820007,143.100006,144.820007,2824300,144.17717
"2022-01-27",145.759995,147.020004,136.889999,137.25,3533500,136.640732
"2022-01-28",138.220001,143.559998,136.720001,143.389999,2367900,142.753494
"2022-01-31",142.190002,145.440002,141.399994,145.110001,1615300,144.465851
"2022-02-01",145.929993,146.240005,143.580002,145.720001,2772800,145.07312
"2022-02-02",145.990005,145.990005,142.740005,144.589996,2740300,143.948151
"2022-02-03",144.169998,145.860001,142.649994,144.149994,2838500,143.510117
"2022-02-04",143.419998,147.139999,142.470001,145.5,3169500,144.854126
"2022-02-07",146.479996,149.470001,145.759995,148.639999,2526200,147.980179
"2022-02-08",149.25,153.699997,148.649994,153.380005,3102300,152.699127
"2022-02-09",154.850006,157.490005,152.889999,153.139999,2709300,152.460205
"2022-02-10",151.960007,156.490005,150.839996,154.199997,2551100,153.515488
"2022-02-11",154.690002,155.800003,149.25,149.529999,2798400,148.866226
"2022-02-14",149.759995,154.5,149.759995,151.429993,4412100,150.757797
"2022-02-15",153.990005,159.089996,153.990005,158,4976700,157.298645
"2022-02-16",157.899994,160.960007,155,156.339996,4808600,155.645996
"2022-02-17",154.130005,155.679993,150.029999,153.039993,3131100,152.360626
"2022-02-18",153.160004,154.490005,149.929993,150.410004,2318000,149.74234
"2022-02-22",150,150.600006,145.889999,147.160004,2991400,146.50676
"2022-02-23",148.330002,148.479996,143.070007,143.369995,3147600,142.733582
"2022-02-24",138.970001,146.660004,138.029999,146.089996,3350000,145.441498
