"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2017-10-12",67.169998,67.550003,66.589996,66.639999,3431900,66.639999
"2017-10-13",66.589996,67.610001,66.589996,67.57,4082100,67.57
"2017-10-16",67.639999,67.709999,66.730003,66.949997,3901700,66.949997
"2017-10-17",67.120003,67.940002,66.800003,67.510002,4806900,67.510002
"2017-10-18",67.550003,68.480003,67.440002,67.989998,5309300,67.989998
"2017-10-19",66.389999,66.720001,59.560001,59.779999,29908900,59.779999
"2017-10-20",60,61.150002,59.34,59.900002,10397400,59.900002
"2017-10-23",60.040001,60.07,58.869999,59.099998,6910600,59.099998
"2017-10-24",58.900002,60.07,58.040001,59.91,8758200,59.91
"2017-10-25",60.41,60.580002,59.419998,59.919998,6596500,59.919998
"2017-10-26",60.259998,61.330002,59.470001,59.950001,9846800,59.950001
"2017-10-27",60.150002,60.790001,59.619999,60.25,4894500,60.25
"2017-10-30",59.779999,59.990002,58.650002,59.040001,5278900,59.040001
"2017-10-31",59.029999,59.200001,58.459999,58.48,5161700,58.48
"2017-11-01",58.200001,58.939999,58.110001,58.639999,4799000,58.639999
"2017-11-02",58.439999,58.869999,58.130001,58.27,3872100,58.27
"2017-11-03",58.41,59.82,58.150002,59.650002,4924800,59.650002
"2017-11-06",59.439999,60.790001,59.259998,59.919998,3948900,59.919998
"2017-11-07",60.009998,60.189999,58.639999,58.709999,3681300,58.709999
"2017-11-08",58.549999,59.299999,58.389999,58.919998,2651400,58.919998
"2017-11-09",58.419998,58.98,57.93,58.389999,3571100,58.389999
"2017-11-10",58.34,59.18,58.290001,58.52,3180000,58.52
"2017-11-13",58.220001,58.549999,57.720001,57.810001,4480000,57.810001
"2017-11-14",57.700001,57.990002,56.599998,57.200001,5187700,57.200001
"2017-11-15",56.990002,57.689999,56.509998,57.490002,4940200,57.490002
"2017-11-16",58.07,58.759998,57.59,58.68,3133300,58.68
"2017-11-17",58.41,58.59,57.799999,58.200001,4260100,58.200001
"2017-11-20",58.259998,58.830002,57.82,58.759998,3108400,58.759998
"2017-11-21",58.860001,59.77,58.779999,59.709999,2871200,59.709999
"2017-11-22",59.389999,60,59.27,59.689999,1804600,59.689999
"2017-11-24",59.619999,59.75,59.25,59.43,1196700,59.43
"2017-11-27",59.439999,59.540001,58.93,59.09,2896300,59.09
"2017-11-28",59.16,60.380001,59,60.189999,4149400,60.189999
"2017-11-29",60.599998,62.290001,60.389999,62.09,6093300,62.09
"2017-11-30",62.25,63.84,62.080002,63.32,4993000,63.32
"2017-12-01",63.200001,63.490002,61.84,62.57,4461900,62.57
"2017-12-04",63.689999,64.330002,62.549999,62.59,5054300,62.59
"2017-12-05",62.59,62.720001,61.84,62.200001,2635100,62.200001
"2017-12-06",62.16,62.599998,61.779999,62.189999,3078600,62.189999
"2017-12-07",62.279999,63.779999,61.84,63.529999,3790500,63.529999
"2017-12-08",65.230003,65.290001,63.380001,63.549999,5162000,63.549999
"2017-12-11",63.689999,64.690002,63.48,64.239998,4067600,64.239998
"2017-12-12",64.449997,64.519997,63.360001,63.360001,2827900,63.360001
"2017-12-13",63.52,63.740002,62.450001,63.029999,3727300,63.029999
"2017-12-14",63.5,64.040001,62.709999,63.130001,5827700,63.130001
"2017-12-15",63.619999,64.470001,63.259998,63.759998,6744300,63.759998
"2017-12-18",64.120003,64.760002,63.709999,64.559998,3710100,64.559998
"2017-12-19",64.830002,64.989998,64.330002,64.43,3339400,64.43
"2017-12-20",65.330002,66.269997,65.040001,65.900002,4566600,65.900002
"2017-12-21",66.169998,67.629997,66.150002,67.279999,4555000,67.279999
"2017-12-22",67.440002,67.480003,67.110001,67.25,2154600,67.25
"2017-12-26",66.940002,67.720001,66.480003,67.349998,2347300,67.349998
"2017-12-27",67.620003,67.620003,66.610001,67.120003,2939900,67.120003
"2017-12-28",67.120003,67.57,66.879997,67.540001,2454400,67.540001
"2017-12-29",67.68,67.989998,67.370003,67.400002,3079500,67.400002
"2018-01-02",67.900002,69.010002,67.379997,68.940002,3390600,68.940002
"2018-01-03",68.940002,69.370003,67.82,68.489998,4590900,68.489998
"2018-01-04",68.690002,69.370003,67.639999,69.260002,3922900,69.260002
"2018-01-05",69.400002,69.400002,68.769997,69.360001,2675900,69.360001
"2018-01-08",69.370003,69.370003,68.010002,68.510002,4277900,68.510002
"2018-01-09",68.5,69.760002,68.389999,68.480003,3057000,68.480003
"2018-01-10",70.980003,73.150002,70.449997,73.080002,9380400,73.080002
"2018-01-11",73.610001,77.089996,73.25,76.449997,6913400,76.449997
"2018-01-12",76.739998,78.839996,76.480003,78.400002,4479300,78.400002
"2018-01-16",78.349998,79,76.800003,77.489998,3912400,77.489998
"2018-01-17",77.529999,77.610001,76.480003,76.580002,2950400,76.580002
"2018-01-18",76.599998,77.099998,75.989998,76.300003,3442200,76.300003
"2018-01-19",76.82,76.839996,75.800003,76.5,3994600,76.5
"2018-01-22",76.599998,76.879997,75.5,76.870003,3010700,76.870003
"2018-01-23",77.099998,78.209999,76.400002,77.970001,5115800,77.970001
"2018-01-24",71.43,72,68.07,69.050003,27117200,69.050003
"2018-01-25",69.360001,69.400002,65.800003,66.080002,16960300,66.080002
"2018-01-26",66.330002,66.769997,65.440002,66.559998,6503500,66.559998
"2018-01-29",66.220001,66.75,65.459999,65.779999,5414800,65.779999
"2018-01-30",66.260002,67.519997,65.779999,67.010002,7802300,67.010002
"2018-01-31",67.739998,69.089996,67.32,67.82,6234800,67.82
"2018-02-01",67.220001,67.949997,66.230003,67.150002,5603300,67.150002
"2018-02-02",66.629997,66.889999,65.480003,65.68,4189800,65.68
"2018-02-05",65,65.440002,63.279999,63.400002,5433800,63.400002
"2018-02-06",62.16,64.220001,61.959999,63.950001,4670800,63.950001
"2018-02-07",63.84,66.580002,63.75,65.360001,5694900,65.360001
