"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
279.200012,287.450012,278.26001,282.980011,86844500,282.980011,"2021-02-26"
292.519989,294.200012,283.149994,283.940002,91669800,283.940002,"2021-03-01"
283.339996,286.679993,280.76001,284.399994,58379700,284.399994,"2021-03-02"
287.619995,291.070007,285.429993,287.179993,90328200,287.179993,"2021-03-03"
287.160004,287.350006,267.950012,277.709991,112290000,277.709991,"2021-03-04"
278.700012,279.369995,254.580002,275.23999,117967700,275.23999,"2021-03-05"
280.779999,291.25,279.910004,289.940002,91149100,289.940002,"2021-03-08"
288.619995,289.790009,280.220001,286.119995,74649200,286.119995,"2021-03-09"
285.660004,291.339996,282.579987,286.230011,76163100,286.230011,"2021-03-10"
287.799988,292.609985,285.359985,287.649994,76098500,287.649994,"2021-03-11"
287.920013,299.600006,287.25,299.290009,101921200,299.290009,"2021-03-12"
307.420013,314.25,306.540009,311.380005,163183400,311.380005,"2021-03-15"
311.23999,311.23999,302.209991,303.350006,87991900,303.350006,"2021-03-16"
301.059998,311.869995,301.059998,311.5,77849200,311.5,"2021-03-17"
310.170013,315.769989,303.869995,304.850006,94898900,304.850006,"2021-03-18"
303.429993,306.359985,296.940002,305.200012,90479300,305.200012,"2021-03-19"
301.670013,302.700012,295.76001,295.950012,74626800,295.950012,"2021-03-22"
289.119995,296.440002,279.970001,281.720001,101339800,281.720001,"2021-03-23"
287.570007,292.779999,280.450012,280.450012,82257200,280.450012,"2021-03-24"
273.429993,291.630005,273.429993,290.880005,94030100,290.880005,"2021-03-25"
294.769989,297.380005,288.619995,295.399994,71907000,295.399994,"2021-03-26"
296.209991,298.51001,289.980011,293.410004,61064900,293.410004,"2021-03-29"
295.570007,303.410004,295.209991,302.410004,70316100,302.410004,"2021-03-30"
300.329987,301.859985,297.450012,298.730011,56770000,298.730011,"2021-03-31"
299.910004,302.459991,297.829987,300.350006,51769500,300.350006,"2021-04-01"
306.279999,314.179993,305.519989,308.01001,73647800,308.01001,"2021-04-05"
310.119995,315.23999,309.049988,313.049988,65769200,313.049988,"2021-04-06"
313.019989,315.570007,307.540009,308.959991,58867600,308.959991,"2021-04-07"
306.660004,307.980011,301.220001,307.679993,61928900,307.679993,"2021-04-08"
306.019989,307.089996,302.160004,305.589996,46678800,305.589996,"2021-04-09"
303.679993,303.679993,297.309998,300.040009,61290500,300.040009,"2021-04-12"
293.579987,300.450012,287.769989,299.440002,89452600,299.440002,"2021-04-13"
303.929993,307.380005,297.76001,298.970001,66586300,298.970001,"2021-04-14"
302.140015,302.600006,291.5,294.959991,75267500,294.959991,"2021-04-15"
296.380005,298.130005,292.089996,293.329987,54556500,293.329987,"2021-04-16"
292.089996,292.179993,287.570007,290.089996,54956300,290.089996,"2021-04-19"
284.399994,284.399994,273.209991,276.799988,116012600,276.799988,"2021-04-20"
273.799988,285.660004,270.839996,285.660004,94934100,285.660004,"2021-04-21"
289.290009,291.320007,279.079987,279.25,121927300,279.25,"2021-04-22"
280.720001,287.440002,278.649994,286.410004,76856000,286.410004,"2021-04-23"
291.029999,293.549988,288.600006,290.839996,74126200,290.839996,"2021-04-26"
290.040009,291.709991,287.5,290.179993,50014100,290.179993,"2021-04-27"
289.410004,291.329987,287.970001,289.140015,46509200,289.140015,"2021-04-28"
291.679993,293.160004,287.470001,289.23999,57205800,289.23999,"2021-04-29"
287.25,293.850006,287.25,292.559998,57562800,292.559998,"2021-04-30"
293.98999,294.029999,287.829987,291.230011,51774600,291.230011,"2021-05-03"
289.339996,290.420013,278.970001,282.640015,72232300,282.640015,"2021-05-04"
281.690002,288.220001,281.070007,284.390015,50345200,284.390015,"2021-05-05"
284.429993,286.269989,279.059998,283.410004,50948300,283.410004,"2021-05-06"
283.190002,291.290009,282.089996,289.690002,60790800,289.690002,"2021-05-07"
291.23999,293.73999,287.100006,287.109985,57069300,287.109985,"2021-05-10"
278.839996,283.630005,274.459991,280.540009,74089800,280.540009,"2021-05-11"
