Date,num_vaccine,Distributor
03/24/2022,525538000.0,Moderna
03/25/2021,177044100.0,Moderna
03/25/2022,526023580.0,Moderna
03/26/2021,180397400.0,Moderna
03/26/2022,526491280.0,Moderna
03/27/2021,182066200.0,Moderna
03/27/2022,526491480.0,Moderna
03/28/2021,182091400.0,Moderna
03/28/2022,526491480.0,Moderna
03/29/2021,182104700.0,Moderna
03/29/2022,526806680.0,Moderna
03/30/2021,186058600.0,Moderna
03/30/2022,527162180.0,Moderna
03/31/2021,192734800.0,Moderna
03/31/2022,528211280.0,Moderna
04/01/2021,196813000.0,Moderna
04/01/2022,528220880.0,Moderna
04/02/2021,199036400.0,Moderna
04/02/2022,530196580.0,Moderna
04/03/2021,200673600.0,Moderna
04/03/2022,530197780.0,Moderna
04/04/2021,200690200.0,Moderna
04/04/2022,530197780.0,Moderna
04/05/2021,200690400.0,Moderna
04/05/2022,530992380.0,Moderna
04/06/2021,205675500.0,Moderna
04/06/2022,531546380.0,Moderna
04/07/2021,211697700.0,Moderna
04/07/2022,532901880.0,Moderna
04/08/2021,215112500.0,Moderna
04/08/2022,533854180.0,Moderna
04/09/2021,217417800.0,Moderna
04/09/2022,533854180.0,Moderna
04/10/2021,219288500.0,Moderna
